sku_id,tienda,marca,formato_raw,precio_raw,rating,opiniones,precio_kg,especialidad,id_registro_unico,marca_cat,especialidad_cat
Veterinary Hypoallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Hypoallergenic pienso para perros 7.00€ el kg
Desde 7.00€ / kg",28.09,4.7,288,7.0,Hypoallergenic,Royal Canin_Hypoallergenic_Veterinary Hypoallergenic pienso para perros,4,3
Veterinary Anallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Anallergenic pienso para perros 10.11€ el kg
Desde 10.11€ / kg",23.99,4.6,216,10.11,General Care,Royal Canin_General Care_Veterinary Anallergenic pienso para perros,4,0
Prescription Diet Digestive Care i/d Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Pollo pienso para perros 6.80€ el kg
Desde 6.80€ / kg",18.39,4.7,164,6.8,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Pollo pienso para perros,0,0
Prescription Diet z/d Food Sensitivities Mini para perros,Kiwoko,Hill's,"Prescription Diet z/d Food Sensitivities Mini para perros 10.21€ el kg
Desde 10.21€ / kg",14.69,4.9,163,10.21,General Care,Hill's_General Care_Prescription Diet z/d Food Sensitivities Mini para perros,0,0
Gastroenteric Pollo sobre para perros mini,Kiwoko,Advance,"Gastroenteric Pollo sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,4.7,26,16.58,Digestive,Advance_Digestive_Gastroenteric Pollo sobre para perros mini,1,2
Prescription Diet Derm Complete pienso para perros,Kiwoko,Hill's,"Prescription Diet Derm Complete pienso para perros 7.80€ el kg
Desde 7.80€ / kg",19.99,4.8,100,7.8,General Care,Hill's_General Care_Prescription Diet Derm Complete pienso para perros,0,0
Veterinary Diets Hypoallergenic lata para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,73,5.51,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic lata para perros,3,3
Veterinary Hypoallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Hypoallergenic pienso para perros 7.00€ el kg
Desde 7.00€ / kg",28.09,4.7,288,7.0,Hypoallergenic,Royal Canin_Hypoallergenic_Veterinary Hypoallergenic pienso para perros,4,3
Veterinary Anallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Anallergenic pienso para perros 10.11€ el kg
Desde 10.11€ / kg",23.99,4.6,216,10.11,General Care,Royal Canin_General Care_Veterinary Anallergenic pienso para perros,4,0
Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,Kiwoko,Hill's,"Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros 12.57€ el kg
Desde 12.57€ / kg",2.59,4.7,223,12.57,General Care,Hill's_General Care_Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,0,0
