marca,supermercado,categoria,precio,supermercado_index,categoria_index,features,scaledFeatures,prediction,categoria_limpia
GENERICA,ACUENTA,LACTEOS,7090.0,4.0,4.0,"[7090.0,4.0,4.0]","[1.0296881024741418,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,AVES,2690.0,4.0,15.0,"[2690.0,4.0,15.0]","[0.3906715085550693,2.9858970332390777,2.389135800537467]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,COLACIONES/POSTRES,1950.0,4.0,18.0,"[1950.0,4.0,18.0]","[0.28320053594140715,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,FIAMBRERIA,2350.0,4.0,9.0,"[2350.0,4.0,9.0]","[0.3412929535704137,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
LIDER,ACUENTA,COLACIONES/POSTRES,250.0,4.0,18.0,"[250.0,4.0,18.0]","[0.03630776101812912,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
SURLAT,ACUENTA,OTROS FRESCOS,1190.0,4.0,5.0,"[1190.0,4.0,5.0]","[0.1728249424462946,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,COLACIONES/POSTRES,250.0,4.0,18.0,"[250.0,4.0,18.0]","[0.03630776101812912,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,LACTEOS,2190.0,4.0,4.0,"[2190.0,4.0,4.0]","[0.31805598651881106,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,1984.0,4.0,5.0,"[1984.0,4.0,5.0]","[0.2881383914398727,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,1990.0,4.0,5.0,"[1990.0,4.0,5.0]","[0.2890097777043078,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,2150.0,4.0,5.0,"[2150.0,4.0,5.0]","[0.3122467447559104,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS,1250.0,4.0,4.0,"[1250.0,4.0,4.0]","[0.1815388050906456,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,1350.0,4.0,4.0,"[1350.0,4.0,4.0]","[0.19606190949789723,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS,5790.0,4.0,4.0,"[5790.0,4.0,4.0]","[0.8408877451798704,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
PF,ACUENTA,FIAMBRERIA,1790.0,4.0,9.0,"[1790.0,4.0,9.0]","[0.2599635688898045,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,LACTEOS,3590.0,4.0,4.0,"[3590.0,4.0,4.0]","[0.5213794482203341,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,6490.0,4.0,4.0,"[6490.0,4.0,4.0]","[0.9425494760306319,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,OTROS FRESCOS,2990.0,4.0,5.0,"[2990.0,4.0,5.0]","[0.43424082177682427,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,5190.0,4.0,4.0,"[5190.0,4.0,4.0]","[0.7537491187363605,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,1350.0,4.0,4.0,"[1350.0,4.0,4.0]","[0.19606190949789723,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,11090.0,4.0,4.0,"[11090.0,4.0,4.0]","[1.6106122787642076,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,6090.0,4.0,4.0,"[6090.0,4.0,4.0]","[0.8844570584016254,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,COLACIONES/POSTRES,250.0,4.0,18.0,"[250.0,4.0,18.0]","[0.03630776101812912,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
LIDER,ACUENTA,HUEVOS,3990.0,4.0,29.0,"[3990.0,4.0,29.0]","[0.5794718658493407,2.9858970332390777,4.618995881039103]",1,LACTEOS Y FRESCOS
LIDER,ACUENTA,COLACIONES/POSTRES,250.0,4.0,18.0,"[250.0,4.0,18.0]","[0.03630776101812912,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
LIDER,ACUENTA,COLACIONES/POSTRES,250.0,4.0,18.0,"[250.0,4.0,18.0]","[0.03630776101812912,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,2490.0,4.0,12.0,"[2490.0,4.0,12.0]","[0.361625299740566,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,3890.0,4.0,5.0,"[3890.0,4.0,5.0]","[0.564948761442089,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,2950.0,4.0,12.0,"[2950.0,4.0,12.0]","[0.4284315800139236,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS/FIAMBRERIA,2590.0,4.0,12.0,"[2590.0,4.0,12.0]","[0.3761484041478177,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,5690.0,4.0,12.0,"[5690.0,4.0,12.0]","[0.8263646407726187,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,1890.0,4.0,12.0,"[1890.0,4.0,12.0]","[0.2744866732970561,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,1950.0,4.0,12.0,"[1950.0,4.0,12.0]","[0.28320053594140715,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,2850.0,4.0,12.0,"[2850.0,4.0,12.0]","[0.41390847560667193,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,2290.0,4.0,12.0,"[2290.0,4.0,12.0]","[0.33257909092606275,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
QUILLAYES,ACUENTA,LACTEOS/FIAMBRERIA,3390.0,4.0,12.0,"[3390.0,4.0,12.0]","[0.49233323940583085,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,FIAMBRERIA,1550.0,4.0,9.0,"[1550.0,4.0,9.0]","[0.22510811831240055,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
COLUN,ACUENTA,LACTEOS/FIAMBRERIA,2890.0,4.0,12.0,"[2890.0,4.0,12.0]","[0.41971771736957264,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,LACTEOS/FIAMBRERIA,990.0,4.0,12.0,"[990.0,4.0,12.0]","[0.1437787336317913,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,3850.0,4.0,12.0,"[3850.0,4.0,12.0]","[0.5591395196791884,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,5890.0,4.0,12.0,"[5890.0,4.0,12.0]","[0.855410849587122,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,4490.0,4.0,12.0,"[4490.0,4.0,12.0]","[0.652087387885599,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,OTROS FRESCOS,2790.0,4.0,5.0,"[2790.0,4.0,5.0]","[0.40519461296232095,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS/FIAMBRERIA,4250.0,4.0,12.0,"[4250.0,4.0,12.0]","[0.617231937308195,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,3290.0,4.0,12.0,"[3290.0,4.0,12.0]","[0.4778101349985792,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,670.0,4.0,18.0,"[670.0,4.0,18.0]","[0.09730479952858603,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
PF,ACUENTA,AVES,2090.0,4.0,15.0,"[2090.0,4.0,15.0]","[0.30353288211155943,2.9858970332390777,2.389135800537467]",2,CARNES Y FIAMBRERÍA
SAN JORGE,ACUENTA,FIAMBRERIA,1550.0,4.0,9.0,"[1550.0,4.0,9.0]","[0.22510811831240055,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
WINTER,ACUENTA,FIAMBRERIA,2290.0,4.0,9.0,"[2290.0,4.0,9.0]","[0.33257909092606275,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,OTROS FRESCOS,2090.0,4.0,5.0,"[2090.0,4.0,5.0]","[0.30353288211155943,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
SAN JORGE,ACUENTA,FIAMBRERIA,1990.0,4.0,9.0,"[1990.0,4.0,9.0]","[0.2890097777043078,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
SAN JORGE,ACUENTA,FIAMBRERIA,2250.0,4.0,9.0,"[2250.0,4.0,9.0]","[0.3267698491631621,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
COLUN,ACUENTA,LACTEOS,1750.0,4.0,4.0,"[1750.0,4.0,4.0]","[0.25415432712690383,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,3190.0,4.0,4.0,"[3190.0,4.0,4.0]","[0.46328703059132753,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,LACTEOS,3690.0,4.0,4.0,"[3690.0,4.0,4.0]","[0.5359025526275858,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,AVES,3390.0,4.0,15.0,"[3390.0,4.0,15.0]","[0.49233323940583085,2.9858970332390777,2.389135800537467]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,OTROS FRESCOS,3390.0,4.0,5.0,"[3390.0,4.0,5.0]","[0.49233323940583085,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,CERDO,2050.0,4.0,24.0,"[2050.0,4.0,24.0]","[0.2977236403486588,2.9858970332390777,3.822617280859947]",1,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,FIAMBRERIA,990.0,4.0,9.0,"[990.0,4.0,9.0]","[0.1437787336317913,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
CALO,ACUENTA,LACTEOS,2350.0,4.0,4.0,"[2350.0,4.0,4.0]","[0.3412929535704137,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS,540.0,4.0,4.0,"[540.0,4.0,4.0]","[0.0784247637991589,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,2250.0,4.0,5.0,"[2250.0,4.0,5.0]","[0.3267698491631621,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
PF,ACUENTA,FIAMBRERIA,1950.0,4.0,9.0,"[1950.0,4.0,9.0]","[0.28320053594140715,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,LACTEOS,3390.0,4.0,4.0,"[3390.0,4.0,4.0]","[0.49233323940583085,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
WINTER,ACUENTA,OTROS FRESCOS,1690.0,4.0,5.0,"[1690.0,4.0,5.0]","[0.24544046448255286,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,FIAMBRERIA,1090.0,4.0,9.0,"[1090.0,4.0,9.0]","[0.15830183803904296,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,FIAMBRERIA,1090.0,4.0,9.0,"[1090.0,4.0,9.0]","[0.15830183803904296,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,AVES,1150.0,4.0,15.0,"[1150.0,4.0,15.0]","[0.16701570068339394,2.9858970332390777,2.389135800537467]",2,CARNES Y FIAMBRERÍA
LIDER,ACUENTA,HUEVOS,1990.0,4.0,29.0,"[1990.0,4.0,29.0]","[0.2890097777043078,2.9858970332390777,4.618995881039103]",1,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,COLACIONES/POSTRES,670.0,4.0,18.0,"[670.0,4.0,18.0]","[0.09730479952858603,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,FIAMBRERIA,2550.0,4.0,9.0,"[2550.0,4.0,9.0]","[0.370339162384917,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
LIDER,ACUENTA,LACTEOS,2950.0,4.0,4.0,"[2950.0,4.0,4.0]","[0.4284315800139236,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
PF,ACUENTA,OTROS FRESCOS,2750.0,4.0,5.0,"[2750.0,4.0,5.0]","[0.3993853711994203,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
CALO,ACUENTA,LACTEOS,1750.0,4.0,4.0,"[1750.0,4.0,4.0]","[0.25415432712690383,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
PF,ACUENTA,FIAMBRERIA,1350.0,4.0,9.0,"[1350.0,4.0,9.0]","[0.19606190949789723,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
PF,ACUENTA,FIAMBRERIA,2590.0,4.0,9.0,"[2590.0,4.0,9.0]","[0.3761484041478177,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,COLACIONES/POSTRES,670.0,4.0,18.0,"[670.0,4.0,18.0]","[0.09730479952858603,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,OTROS FRESCOS,4890.0,4.0,5.0,"[4890.0,4.0,5.0]","[0.7101798055146056,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
WINTER,ACUENTA,FIAMBRERIA,2750.0,4.0,9.0,"[2750.0,4.0,9.0]","[0.3993853711994203,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
SOPROLE,ACUENTA,LACTEOS/FIAMBRERIA,3890.0,4.0,12.0,"[3890.0,4.0,12.0]","[0.564948761442089,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,COLACIONES/POSTRES,380.0,4.0,18.0,"[380.0,4.0,18.0]","[0.055187796747556264,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,FIAMBRERIA,2650.0,4.0,9.0,"[2650.0,4.0,9.0]","[0.3848622667921687,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
COLUN,ACUENTA,LACTEOS,3890.0,4.0,4.0,"[3890.0,4.0,4.0]","[0.564948761442089,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,FIAMBRERIA,1690.0,4.0,9.0,"[1690.0,4.0,9.0]","[0.24544046448255286,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
SAN JORGE,ACUENTA,FIAMBRERIA,1790.0,4.0,9.0,"[1790.0,4.0,9.0]","[0.2599635688898045,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,HUEVOS,4090.0,4.0,29.0,"[4090.0,4.0,29.0]","[0.5939949702565924,2.9858970332390777,4.618995881039103]",1,LACTEOS Y FRESCOS
PF,ACUENTA,OTROS FRESCOS,3590.0,4.0,5.0,"[3590.0,4.0,5.0]","[0.5213794482203341,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,490.0,4.0,5.0,"[490.0,4.0,5.0]","[0.07116321159553307,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,660.0,4.0,18.0,"[660.0,4.0,18.0]","[0.09585248908786087,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,990.0,4.0,12.0,"[990.0,4.0,12.0]","[0.1437787336317913,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
PF,ACUENTA,OTROS FRESCOS,1350.0,4.0,5.0,"[1350.0,4.0,5.0]","[0.19606190949789723,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,FIAMBRERIA,1950.0,4.0,9.0,"[1950.0,4.0,9.0]","[0.28320053594140715,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,2850.0,4.0,12.0,"[2850.0,4.0,12.0]","[0.41390847560667193,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,760.0,4.0,18.0,"[760.0,4.0,18.0]","[0.11037559349511253,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,FIAMBRERIA,1350.0,4.0,9.0,"[1350.0,4.0,9.0]","[0.19606190949789723,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
COLUN,ACUENTA,LACTEOS/FIAMBRERIA,2950.0,4.0,12.0,"[2950.0,4.0,12.0]","[0.4284315800139236,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,770.0,4.0,18.0,"[770.0,4.0,18.0]","[0.11182790393583769,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
SOPROLE,ACUENTA,COLACIONES/POSTRES,770.0,4.0,18.0,"[770.0,4.0,18.0]","[0.11182790393583769,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,CERDO,2250.0,4.0,24.0,"[2250.0,4.0,24.0]","[0.3267698491631621,2.9858970332390777,3.822617280859947]",1,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,COLACIONES/POSTRES,680.0,4.0,18.0,"[680.0,4.0,18.0]","[0.0987571099693112,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,FIAMBRERIA,2150.0,4.0,9.0,"[2150.0,4.0,9.0]","[0.3122467447559104,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,AVES,2490.0,4.0,15.0,"[2490.0,4.0,15.0]","[0.361625299740566,2.9858970332390777,2.389135800537467]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,OTROS FRESCOS,490.0,4.0,5.0,"[490.0,4.0,5.0]","[0.07116321159553307,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,840.0,4.0,12.0,"[840.0,4.0,12.0]","[0.12199407702091383,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,990.0,4.0,12.0,"[990.0,4.0,12.0]","[0.1437787336317913,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
LIDER,ACUENTA,LACTEOS/FIAMBRERIA,990.0,4.0,12.0,"[990.0,4.0,12.0]","[0.1437787336317913,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,2250.0,4.0,4.0,"[2250.0,4.0,4.0]","[0.3267698491631621,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,800.0,4.0,18.0,"[800.0,4.0,18.0]","[0.11618483525801318,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
LLANQUIHUE,ACUENTA,FIAMBRERIA,2590.0,4.0,9.0,"[2590.0,4.0,9.0]","[0.3761484041478177,2.9858970332390777,1.43348148032248]",2,CARNES Y FIAMBRERÍA
GENERICA,ACUENTA,COLACIONES/POSTRES,810.0,4.0,18.0,"[810.0,4.0,18.0]","[0.11763714569873834,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
GENERICA,ACUENTA,LACTEOS,2890.0,4.0,4.0,"[2890.0,4.0,4.0]","[0.41971771736957264,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,7890.0,4.0,12.0,"[7890.0,4.0,12.0]","[1.145872937732155,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,LACTEOS/FIAMBRERIA,2290.0,4.0,12.0,"[2290.0,4.0,12.0]","[0.33257909092606275,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,5950.0,4.0,12.0,"[5950.0,4.0,12.0]","[0.864124712231473,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
QUILLAYES,ACUENTA,LACTEOS/FIAMBRERIA,6590.0,4.0,12.0,"[6590.0,4.0,12.0]","[0.9570725804378836,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,3590.0,4.0,12.0,"[3590.0,4.0,12.0]","[0.5213794482203341,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
QUILLAYES,ACUENTA,LACTEOS/FIAMBRERIA,3190.0,4.0,12.0,"[3190.0,4.0,12.0]","[0.46328703059132753,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
QUILLAYES,ACUENTA,LACTEOS/FIAMBRERIA,5890.0,4.0,12.0,"[5890.0,4.0,12.0]","[0.855410849587122,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,COLACIONES/POSTRES,1890.0,4.0,18.0,"[1890.0,4.0,18.0]","[0.2744866732970561,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
TIL,ACUENTA,OTROS FRESCOS,610.0,4.0,5.0,"[610.0,4.0,5.0]","[0.08859093688423506,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
TIL,ACUENTA,LACTEOS,450.0,4.0,4.0,"[450.0,4.0,4.0]","[0.06535396983263242,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,LACTEOS,550.0,4.0,4.0,"[550.0,4.0,4.0]","[0.07987707423988406,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,LACTEOS,590.0,4.0,4.0,"[590.0,4.0,4.0]","[0.08568631600278472,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,450.0,4.0,4.0,"[450.0,4.0,4.0]","[0.06535396983263242,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
LONCOLECHE,ACUENTA,LACTEOS,450.0,4.0,4.0,"[450.0,4.0,4.0]","[0.06535396983263242,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
COLUN,ACUENTA,COLACIONES/POSTRES,280.0,4.0,18.0,"[280.0,4.0,18.0]","[0.04066469234030461,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
COLUN,ACUENTA,COLACIONES/POSTRES,280.0,4.0,18.0,"[280.0,4.0,18.0]","[0.04066469234030461,2.9858970332390777,2.86696296064496]",1,OTROS / ELABORADOS
SOPROLE,ACUENTA,LACTEOS,530.0,4.0,4.0,"[530.0,4.0,4.0]","[0.07697245335843374,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS,670.0,4.0,4.0,"[670.0,4.0,4.0]","[0.09730479952858603,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
LONCOLECHE,ACUENTA,LACTEOS,450.0,4.0,4.0,"[450.0,4.0,4.0]","[0.06535396983263242,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS,530.0,4.0,4.0,"[530.0,4.0,4.0]","[0.07697245335843374,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
SOPROLE,ACUENTA,LACTEOS,400.0,4.0,4.0,"[400.0,4.0,4.0]","[0.05809241762900659,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,570.0,4.0,4.0,"[570.0,4.0,4.0]","[0.08278169512133439,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,570.0,4.0,4.0,"[570.0,4.0,4.0]","[0.08278169512133439,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,2490.0,4.0,4.0,"[2490.0,4.0,4.0]","[0.361625299740566,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,720.0,4.0,5.0,"[720.0,4.0,5.0]","[0.10456635173221186,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS/FIAMBRERIA,3590.0,4.0,12.0,"[3590.0,4.0,12.0]","[0.5213794482203341,2.9858970332390777,1.9113086404299735]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,720.0,4.0,5.0,"[720.0,4.0,5.0]","[0.10456635173221186,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,390.0,4.0,5.0,"[390.0,4.0,5.0]","[0.05664010718828143,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,1290.0,4.0,4.0,"[1290.0,4.0,4.0]","[0.18734804685354625,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,OTROS FRESCOS,3090.0,4.0,5.0,"[3090.0,4.0,5.0]","[0.4487639261840759,2.9858970332390777,0.7963786001791556]",2,LACTEOS Y FRESCOS
GENERICA,ACUENTA,LACTEOS,990.0,4.0,4.0,"[990.0,4.0,4.0]","[0.1437787336317913,2.9858970332390777,0.6371028801433245]",2,LACTEOS Y FRESCOS
