nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
Mayonesa Hellmann's Frasco 430 g,Hellmann's,Santa Isabel,Despensa,3070.0,3695.8256532066507,-16.93,0
Callampas Gourmet Sobre 35 g,Gourmet,Santa Isabel,Despensa,2900.0,3695.8256532066507,-21.53,0
Barra de Cereal Quaker Manzana 120 g,Quaker,Santa Isabel,Despensa,2130.0,3695.8256532066507,-42.37,0
Crema de Leche Loncoleche 250 g,Loncoleche,Santa Isabel,Despensa,1580.0,3695.8256532066507,-57.25,0
Sardinas en Aceite Vegetal Vigilante 88 g drenado,Vigilante,Santa Isabel,Despensa,2290.0,3695.8256532066507,-38.04,2
Mermelada Tía Lía Damasco 250 g,Tía Lía,Santa Isabel,Despensa,920.0,3695.8256532066507,-75.11,2
Mermelada Regimel Frutilla 0% Azúcar 200 g,Regimel,Santa Isabel,Despensa,1550.0,3695.8256532066507,-58.06,0
Ramen Cuisine & Co Vegetales 85 g,Cuisine & Co,Santa Isabel,Despensa,590.0,3695.8256532066507,-84.04,0
Salsa de Tomate Cuisine & Co American Dream con Champiñones 680 g,Cuisine & Co,Santa Isabel,Despensa,4250.0,3695.8256532066507,14.99,0
Ajo Granulado Gourmet Frasco 31 g,Gourmet,Santa Isabel,Despensa,2690.0,3695.8256532066507,-27.22,0
Ají Pebre JB Botella 240 g,JB,Santa Isabel,Despensa,1610.0,3695.8256532066507,-56.44,0
Cereal Gold 570 g,Nestlé,Santa Isabel,Despensa,4980.0,3695.8256532066507,34.75,0
Choclitos Cóctel Esmeralda 230 g drenado,Esmeralda,Santa Isabel,Despensa,2860.0,3695.8256532066507,-22.62,0
"Ensalada de Atún Cuisine & Co Quinoa 104 g drenado, 160 g neto",Cuisine & Co,Santa Isabel,Despensa,1890.0,3695.8256532066507,-48.86,0
Mermelada Aconcagua Balance Membrillo 200 g,Aconcagua,Santa Isabel,Despensa,1290.0,3695.8256532066507,-65.1,0
Harina Selecta Especial Repostería 650 g,Selecta,Santa Isabel,Despensa,2070.0,3695.8256532066507,-43.99,2
Ají Chileno Cuisine & Co 240 g,Cuisine & Co,Santa Isabel,Despensa,1190.0,3695.8256532066507,-67.8,0
Cappuccino Krüger Dolce Vita Choco 125 g,Kruger,Santa Isabel,Despensa,2490.0,3695.8256532066507,-32.63,2
Porotos Rojos Listos 390 g,Iansa Agro,Santa Isabel,Despensa,1570.0,3695.8256532066507,-57.52,0
"Duraznos Aconcagua en Mitades 340 g drenado, 590 g neto",Aconcagua,Santa Isabel,Despensa,2290.0,3695.8256532066507,-38.04,0
Crema de Espárragos Gourmet Receta Premium Sobre 53 g,Gourmet,Santa Isabel,Despensa,750.0,3695.8256532066507,-79.71,0
Salsa Japonesa Teriyaki 200 g,Passage Foods,Santa Isabel,Despensa,2490.0,3695.8256532066507,-32.63,2
Salsa Street Gourmet Acevichada 250 g,Gourmet,Santa Isabel,Despensa,2550.0,3695.8256532066507,-31.0,0
Kétchup Hellmann's Regular Doypack 100 g,Hellmann's,Santa Isabel,Despensa,970.0,3695.8256532066507,-73.75,0
Salsa Pesto Cuisine & Co Basilico 190 g,Cuisine & Co,Santa Isabel,Despensa,4590.0,3695.8256532066507,24.19,0
Wok de Arroz Salvaje Plato Listo Ya! 220 g,Iansa Agro,Santa Isabel,Despensa,3420.0,3695.8256532066507,-7.46,0
Cereal Chocapic Receta Original 30 g,Chocapic,Santa Isabel,Despensa,560.0,3695.8256532066507,-84.85,0
Base Maggi Sabores del Mundo Carne Mongoliana 26 g,Maggi,Santa Isabel,Despensa,1090.0,3695.8256532066507,-70.51,0
Cereal Vivo Good Hojuelas 350 g,Vivo,Santa Isabel,Despensa,2990.0,3695.8256532066507,-19.1,0
Mermelada Vieja Fábrica Durazno 280 g,La Vieja Fábrica,Santa Isabel,Despensa,2990.0,3695.8256532066507,-19.1,2
Cappuccino Krüger Dolce Vita Sin Lactosa 125 g,Kruger,Santa Isabel,Despensa,2490.0,3695.8256532066507,-32.63,2
Pasta Spaghetti Cuadrado La Molisana 500 g,La Molisana,Santa Isabel,Despensa,1294.0,3695.8256532066507,-64.99,2
Infusión Lipton Manzana Canela Pirámide,Lipton,Santa Isabel,Despensa,2990.0,3695.8256532066507,-19.1,2
Merengue Instantáneo Gourmet Sobre 180 g,Gourmet,Santa Isabel,Despensa,1950.0,3695.8256532066507,-47.24,0
Gyosas de Verduras Cuisine & Co 320 g,Cuisine & Co,Santa Isabel,Despensa,3990.0,3695.8256532066507,7.96,0
Choritos Robinson Crusoe Finas Hierbas 100 g drenado,Robinson Crusoe,Santa Isabel,Despensa,1690.0,3695.8256532066507,-54.27,0
Premezcla Gourmet Galleta Chips de Chocolate 450 g,Gourmet,Santa Isabel,Despensa,3790.0,3695.8256532066507,2.55,0
Mayonesa Hellmann's Supreme Squeeze 330 g,Hellmann's,Santa Isabel,Despensa,3690.0,3695.8256532066507,-0.16,0
Aliño Completo Gourmet Sobre 100 g,Gourmet,Santa Isabel,Despensa,1820.0,3695.8256532066507,-50.76,0
"Choclo Dulce Cuisine & Co 150 g drenado, 241 G neto",Cuisine & Co,Santa Isabel,Despensa,870.0,3695.8256532066507,-76.46,0
Ají de Color Gourmet Sobre 15 g,Gourmet,Santa Isabel,Despensa,330.0,3695.8256532066507,-91.07,0
Sopa Para Uno Maggi Carne con Crutones 12 g,Maggi,Santa Isabel,Despensa,530.0,3695.8256532066507,-85.66,0
Choritos en Aceite Angelmo 213 g drenado,Angelmo,Santa Isabel,Despensa,2152.0,3695.8256532066507,-41.77,2
Endulzante Daily Sucralosa Líquido 180 ml,Daily,Santa Isabel,Despensa,2380.0,3695.8256532066507,-35.6,0
Clavo de Olor Molido Gourmet 5 g,Gourmet,Santa Isabel,Despensa,440.0,3695.8256532066507,-88.09,0
Jalea Ambrosoli Flipy Pouch 100 g,Ambrosoli,Santa Isabel,Despensa,590.0,3695.8256532066507,-84.04,0
Cereal Trix 390 g,Trix,Santa Isabel,Despensa,3490.0,3695.8256532066507,-5.57,2
Ají Pebre Don Juan en Crema Botella 240 g,Don Juan,Santa Isabel,Despensa,1450.0,3695.8256532066507,-60.77,0
Decoración Multicolor Gourmet 100 g,Gourmet,Santa Isabel,Despensa,1450.0,3695.8256532066507,-60.77,0
Crema de Zapallo Wasil 380 g,Wasil,Santa Isabel,Despensa,2440.0,3695.8256532066507,-33.98,0
Sucedáneo Jugo Limón Pica Traverso 500 ml,Traverso,Santa Isabel,Despensa,1820.0,3695.8256532066507,-50.76,0
Compota Livean Manzana 90 g,Livean,Santa Isabel,Despensa,560.0,3695.8256532066507,-84.85,0
Cappuccino Krüger Dolce Vita Vainilla 125 g,Kruger,Santa Isabel,Despensa,2490.0,3695.8256532066507,-32.63,2
Mayonesa Vintage Traverso Doypack 700 g,Traverso,Santa Isabel,Despensa,3650.0,3695.8256532066507,-1.24,0
Molinillo Mix Pimientas Gourmet Premium Frasco 43 g,Gourmet,Santa Isabel,Despensa,4880.0,3695.8256532066507,32.04,0
Crema Zapallo Gourmet Natural 56 g,Gourmet,Santa Isabel,Despensa,670.0,3695.8256532066507,-81.87,0
Arroz Grado 2 Tucapel Grano Largo y Ancho Graneado 1 kg,Tucapel,Santa Isabel,Despensa,1990.0,3695.8256532066507,-46.16,0
Mermelada Cuisine & Co Frutilla 250 g,Cuisine & Co,Santa Isabel,Despensa,1080.0,3695.8256532066507,-70.78,0
Mayonesa Casera Traverso Vintage 425 g,Traverso,Santa Isabel,Despensa,2490.0,3695.8256532066507,-32.63,0
Premezcla Mont Blanc Cocina Fácil Queque Vainilla 450 g,Mont Blanc,Santa Isabel,Despensa,2130.0,3695.8256532066507,-42.37,2
"Atún Lomitos con Salsa de Tomate 91 g drenado, 140 g neto",Robinson Crusoe,Santa Isabel,Despensa,1490.0,3695.8256532066507,-59.68,0
Espárragos Verdes Esmeralda 230 g drenado,Esmeralda,Santa Isabel,Despensa,3190.0,3695.8256532066507,-13.69,0
Sal Parrillera Lobos Yodada Frasco 750 g,Lobos,Santa Isabel,Despensa,1650.0,3695.8256532066507,-55.36,0
Leche Evaporada 386 ml,Cuisine & Co,Santa Isabel,Despensa,1750.0,3695.8256532066507,-52.65,0
Mostaza Hellmann's Regular Doypack 100 g,Hellmann's,Santa Isabel,Despensa,670.0,3695.8256532066507,-81.87,0
Cereal Inflado de Maíz Cuisine & Co 300 g,Cuisine & Co,Santa Isabel,Despensa,1864.0,3695.8256532066507,-49.56,0
Endulzante Iansa Cero K Tabletas Sucralosa 500 un.,Iansa Cero K,Santa Isabel,Despensa,4000.0,3695.8256532066507,8.23,0
Cúrcuma Molida Gourmet 100 g,Gourmet,Santa Isabel,Despensa,3530.0,3695.8256532066507,-4.49,0
Salsa de Tomates Mamma Mia Boloñesa Doypack 200 g,Mamma Mia,Santa Isabel,Despensa,950.0,3695.8256532066507,-74.3,2
Postre Crema Ambrosoli Chocolate Nuss 100 g,Ambrosoli,Santa Isabel,Despensa,1230.0,3695.8256532066507,-66.72,0
Mermelada Casera Watt's Damasco 500 g,Watt's,Santa Isabel,Despensa,3790.0,3695.8256532066507,2.55,0
Caldo Costilla 80 g,Cuisine & Co,Santa Isabel,Despensa,970.0,3695.8256532066507,-73.75,0
Papayas en Trocitos Al Jugo 200 g drenado,Wasil,Santa Isabel,Despensa,3530.0,3695.8256532066507,-4.49,0
Cereal Trix 700 g,Trix,Santa Isabel,Despensa,6130.0,3695.8256532066507,65.86,2
Salsa de Soya Gourmet Light 500 cc,Gourmet,Santa Isabel,Despensa,4360.0,3695.8256532066507,17.97,0
Base Maggi Sabores del Mundo Lomo Saltado 26 g,Maggi,Santa Isabel,Despensa,1090.0,3695.8256532066507,-70.51,0
Ají Mostaza Suave Traverso Doypack 700 g,Traverso,Santa Isabel,Despensa,3150.0,3695.8256532066507,-14.77,0
Fideos Instantáneos Traverso Sachet Verduras 85 g,Traverso,Santa Isabel,Despensa,630.0,3695.8256532066507,-82.95,0
Caldo Polvo Gourmet Gallina 48 g 6 un.,Gourmet,Santa Isabel,Despensa,830.0,3695.8256532066507,-77.54,0
Salsa BBQ Traverso Vintage 450 g,Traverso,Santa Isabel,Despensa,1790.0,3695.8256532066507,-51.57,0
Puré de Papas Maggi 93 g,Maggi,Santa Isabel,Despensa,1190.0,3695.8256532066507,-67.8,0
Pasta de Arroz Spaguetti Tucapel 250 g,Tucapel,Santa Isabel,Despensa,1750.0,3695.8256532066507,-52.65,0
Crema Pollo Cuisine & Co 72 g,Cuisine & Co,Santa Isabel,Despensa,540.0,3695.8256532066507,-85.39,0
Crema Avellana Nutella Alemana 750 + 75 g,Importado Jumbo,Santa Isabel,Despensa,12490.0,3695.8256532066507,237.95,2
Base Maggi para Pollo Crispy 80 g,Maggi,Santa Isabel,Despensa,850.0,3695.8256532066507,-77.0,0
Muesli Viola Uva Bolsa 1 kg,Viola,Santa Isabel,Despensa,5290.0,3695.8256532066507,43.13,2
Espirales Lucchetti Protein 400 g,Lucchetti,Santa Isabel,Despensa,1610.0,3695.8256532066507,-56.44,0
Salero Biosal Light 125 g,Biosal,Santa Isabel,Despensa,1450.0,3695.8256532066507,-60.77,2
"Atún Lomitos en Aceite de Oliva 104 g drenado, 130 g neto",Robinson Crusoe,Santa Isabel,Despensa,2090.0,3695.8256532066507,-43.45,0
Sucralosa Cuisine & Co en Tabletas 500 un.,Cuisine & Co,Santa Isabel,Despensa,3340.0,3695.8256532066507,-9.63,0
Comida Instantánea Maruchan Camarones Pote 64 g,Maruchan,Santa Isabel,Despensa,1330.0,3695.8256532066507,-64.01,0
Salsa para Sandwich Kühne 250 g,Kühne,Santa Isabel,Despensa,3490.0,3695.8256532066507,-5.57,2
Sopa Para Uno Maggi Pollo Merkén 16 g,Maggi,Santa Isabel,Despensa,530.0,3695.8256532066507,-85.66,0
Mermelada Vieja Fábrica Mora 280 g,La Vieja Fábrica,Santa Isabel,Despensa,2990.0,3695.8256532066507,-19.1,2
Palmitos Cuisine & Co Corte Arroz 220 g drenado,Cuisine & Co,Santa Isabel,Despensa,1990.0,3695.8256532066507,-46.16,0
Base Maggi Jugoso Al Horno Pollo Mediterráneo 25 g,Maggi,Santa Isabel,Despensa,1090.0,3695.8256532066507,-70.51,0
Tajín Chamoy 475 ml,Tajín,Santa Isabel,Despensa,6590.0,3695.8256532066507,78.31,2
Mantequilla de Maní Crunchy King 350 g,Mani King,Santa Isabel,Despensa,2190.0,3695.8256532066507,-40.74,2
Kétchup JB Regular Doypack 240 g,JB,Santa Isabel,Despensa,1730.0,3695.8256532066507,-53.19,0
Choritos Al Natural San José 100 g drenado 190 g neto,San José,Santa Isabel,Despensa,1860.0,3695.8256532066507,-49.67,0
"Colorantes Azul, Amarillo y Rojo 25 cc 3 un.",Gourmet,Santa Isabel,Despensa,3210.0,3695.8256532066507,-13.15,0
Yerba Mate Supremo Argentina 8 Hierbas 500 g,Supremo,Santa Isabel,Despensa,3390.0,3695.8256532066507,-8.27,0
Infusión Lipton Manzanilla 20 un.,Lipton,Santa Isabel,Despensa,1720.0,3695.8256532066507,-53.46,0
Café Cápsulas Cuisine & Co Fortissimo Compostables 10 un.,Cuisine & Co,Santa Isabel,Despensa,4590.0,3695.8256532066507,24.19,0
Sal Lobos de Selección Yodada Frasco 250 g,Lobos,Santa Isabel,Despensa,990.0,3695.8256532066507,-73.21,0
Cúrcuma Molida Carmencita Basic 31 g,Carmencita,Santa Isabel,Despensa,1690.0,3695.8256532066507,-54.27,2
Duraznos Trozos Cuisine & Co 340 g drenado,Cuisine & Co,Santa Isabel,Despensa,2190.0,3695.8256532066507,-40.74,0
Fideos Spaghetti 5 Proteínas Carozzi 350 g,Carozzi,Santa Isabel,Despensa,1190.0,3695.8256532066507,-67.8,0
Salsa de Tomate Cuisine & Co American Dream Marinara 680 g,Cuisine & Co,Santa Isabel,Despensa,4250.0,3695.8256532066507,14.99,0
Harina Tostada Kunstmann 500 g,Kunstmann,Santa Isabel,Despensa,1240.0,3695.8256532066507,-66.45,2
Crema Maggi de La Huerta Espinaca Puerro Ciboulette 42G 2 Porciones,Maggi,Santa Isabel,Despensa,970.0,3695.8256532066507,-73.75,0
Barra de Cereal Cuisine & Co Chocolate 6 un.,Cuisine & Co,Santa Isabel,Despensa,1790.0,3695.8256532066507,-51.57,0
Pimiento Morrón Deyco Entero 125 g drenado,Deyco,Santa Isabel,Despensa,1690.0,3695.8256532066507,-54.27,2
Café Instantáneo Nescafé Black Roast Frasco 170 g,Nescafé,Santa Isabel,Despensa,9350.0,3695.8256532066507,152.99,0
Cereal Kit Kat 210 g,Nestlé,Santa Isabel,Despensa,2590.0,3695.8256532066507,-29.92,0
Avena Tradicional Cuisine & Co 450 g,Cuisine & Co,Santa Isabel,Despensa,1750.0,3695.8256532066507,-52.65,0
Barra de Cereal Costa Nuts Almendras 5 un.,Costa,Santa Isabel,Despensa,1690.0,3695.8256532066507,-54.27,0
"Cóctel de Frutas Wasil 340 g drenado, 560 g neto",Wasil,Santa Isabel,Despensa,3320.0,3695.8256532066507,-10.17,0
Arroz Risotto Miraflores 400 g,Miraflores,Santa Isabel,Despensa,2280.0,3695.8256532066507,-38.31,0
Miel de Palma Cocalan Botella 330 g,Cocalan,Santa Isabel,Despensa,6960.0,3695.8256532066507,88.32,2
"Trozos de Salmón en Aceite 100 g drenado, 170 g neto",Cuisine & Co,Santa Isabel,Despensa,3310.0,3695.8256532066507,-10.44,0
Té Ceylán Supremo Línea Oro Caja 200 g 100 un.,Supremo,Santa Isabel,Despensa,4190.0,3695.8256532066507,13.37,0
Alimento de Coco Samui Libre de Gluten y Lactosa 400 ml,Samui,Santa Isabel,Despensa,1832.0,3695.8256532066507,-50.43,2
Cobertura Gourmet Chocolate de Leche 500 g,Gourmet,Santa Isabel,Despensa,6850.0,3695.8256532066507,85.34,0
Pasta Para Uno Carozzi Caracoqueso 70 g,Carozzi,Santa Isabel,Despensa,1340.0,3695.8256532066507,-63.74,0
Café Juan Valdez Volcán Molido 250 g,Juan Valdez,Santa Isabel,Despensa,13930.0,3695.8256532066507,276.91,2
Café Cápsulas Cuisine & Co Classico Decaf 10 un.,Cuisine & Co,Santa Isabel,Despensa,4590.0,3695.8256532066507,24.19,0
Yerba Mate Playadito con Hierbas 500 g,Playadito,Santa Isabel,Despensa,3493.0,3695.8256532066507,-5.49,2
Corbata Tr3S Lucchetti 400 g,Lucchetti,Santa Isabel,Despensa,1130.0,3695.8256532066507,-69.42,0
Mayonesa Kraft Real Mayo Light Frasco 447 g,Kraft,Santa Isabel,Despensa,4990.0,3695.8256532066507,35.02,0
Cereal Zucosos 700 g,Zucosos,Santa Isabel,Despensa,6130.0,3695.8256532066507,65.86,2
"Duraznos en Trocitos Dos Caballos 480 g drenado, 820 g neto",Dos Caballos,Santa Isabel,Despensa,3250.0,3695.8256532066507,-12.06,2
Nutella 140 g,Ferrero,Santa Isabel,Despensa,4460.0,3695.8256532066507,20.68,2
Eneldo Gourmet Sobre 8 g,Gourmet,Santa Isabel,Despensa,690.0,3695.8256532066507,-81.33,0
Sazonador para Tacos Gourmet Sobre 48 g,Gourmet,Santa Isabel,Despensa,1250.0,3695.8256532066507,-66.18,0
Sopa Maggi Para Uno Consomé de Pollo 12 g,Maggi,Santa Isabel,Despensa,530.0,3695.8256532066507,-85.66,0
Cabellitos de Ángel Talliani 400 g,Talliani,Santa Isabel,Despensa,1000.0,3695.8256532066507,-72.94,0
Pack 6 un. Crema de Leche Soprole Natural 200 ml,Soprole,Santa Isabel,Despensa,8520.0,3695.8256532066507,130.53,0
Chuchoca Oso 250 g,Oso,Santa Isabel,Despensa,850.0,3695.8256532066507,-77.0,2
Aliño César Gourmet Envase 250 g,Gourmet,Santa Isabel,Despensa,2650.0,3695.8256532066507,-28.3,0
Café Instantáneo Nescafé Tradición Tarro 100 g,Nescafé,Santa Isabel,Despensa,6290.0,3695.8256532066507,70.19,0
"Choritos Lata 200 g drenado, 425 g neto",Robinson Crusoe,Santa Isabel,Despensa,4360.0,3695.8256532066507,17.97,0
Lentejas 5 mm Iansa Agro 1 kg,Iansa Agro,Santa Isabel,Despensa,2890.0,3695.8256532066507,-21.8,0
Aceite de Maravilla Natura Libre de Colesterol 1.5 L,Natura,Santa Isabel,Despensa,5710.0,3695.8256532066507,54.5,2
Pesto Genovese Barilla 190 g,Barilla,Santa Isabel,Despensa,5610.0,3695.8256532066507,51.79,2
Quinoa Lavada Mi Tierra 600 g,Mi Tierra,Santa Isabel,Despensa,6090.0,3695.8256532066507,64.78,2
Crema de Leche Soprole Sin Lactosa 1 L,Soprole,Santa Isabel,Despensa,5950.0,3695.8256532066507,60.99,0
Base Maggi Jugoso Al Horno Pollo Finas Hierbas 24 g,Maggi,Santa Isabel,Despensa,1090.0,3695.8256532066507,-70.51,0
Arroz Grado 1 Tucapel Grano Largo Delgado 1 kg,Tucapel,Santa Isabel,Despensa,2340.0,3695.8256532066507,-36.69,0
Vinagre de Manzana Orgánico 500 ml,Vitta,Santa Isabel,Despensa,6230.0,3695.8256532066507,68.57,2
Mostaza Heinz Clásica Regular Squeeze 226 g,Heinz,Santa Isabel,Despensa,4050.0,3695.8256532066507,9.58,0
"Duraznos en Cubitos Wasil 200 g drenado, 380 g neto",Wasil,Santa Isabel,Despensa,1190.0,3695.8256532066507,-67.8,0
Sémola Ambrosoli con Caramelo 150 g,Ambrosoli,Santa Isabel,Despensa,1260.0,3695.8256532066507,-65.91,0
Syrup Cuisine & Co American Dream Original 709 ml,Cuisine & Co,Santa Isabel,Despensa,2990.0,3695.8256532066507,-19.1,0
Barra Proteína Your Goal Snack Banana Chips & Caramel 5 un.,Your Goal,Santa Isabel,Despensa,6990.0,3695.8256532066507,89.13,2
Choritos Salsa Picante 100 g drenado,Cuisine & Co,Santa Isabel,Despensa,1750.0,3695.8256532066507,-52.65,0
Mermelada Cuisine & Co Damasco 250 g,Cuisine & Co,Santa Isabel,Despensa,1080.0,3695.8256532066507,-70.78,0
Mostaza Traverso Suave Vintage 450 g,Traverso,Santa Isabel,Despensa,2190.0,3695.8256532066507,-40.74,0
"Duraznos Aconcagua Mitades 480 g drenado, 820 g neto",Aconcagua,Santa Isabel,Despensa,2690.0,3695.8256532066507,-27.22,0
Miel de Abeja Trapense Pote 200 g,Trapense,Santa Isabel,Despensa,2690.0,3695.8256532066507,-27.22,2
Caldo Gallina Cuisine & Co 88 g,Cuisine & Co,Santa Isabel,Despensa,970.0,3695.8256532066507,-73.75,0
Cereal En Línea Hojuelas de Maíz 330 g,En Línea,Santa Isabel,Despensa,2890.0,3695.8256532066507,-21.8,0
Miel Pura de Abejas Mailemu Bosque Nativo 300 g,Mailemu,Santa Isabel,Despensa,3900.0,3695.8256532066507,5.52,2
Canelones Lucchetti 250 g,Lucchetti,Santa Isabel,Despensa,2340.0,3695.8256532066507,-36.69,0
"Choritos en Aceite 200 g drenado, 425 g neto",Robinson Crusoe,Santa Isabel,Despensa,4360.0,3695.8256532066507,17.97,0
Trigo Mote Oso 500 g,Oso,Santa Isabel,Despensa,1470.0,3695.8256532066507,-60.23,2
Crema de Champiñónes Gourmet Receta Premium Sobre 50 g,Gourmet,Santa Isabel,Despensa,750.0,3695.8256532066507,-79.71,0
Harina Tostada Oso 500 g,Oso,Santa Isabel,Despensa,1300.0,3695.8256532066507,-64.83,2
Té Negro Ceylon Dilmah Premium 20 un.,Dilmah,Santa Isabel,Despensa,2550.0,3695.8256532066507,-31.0,2
Barra de Cereal Quaker Frutilla 108 g 6 un.,Quaker,Santa Isabel,Despensa,2130.0,3695.8256532066507,-42.37,0
Ensalada de Atún Robinson Crusoe con Quinoa y Cúrcuma 160 g neto,Robinson Crusoe,Santa Isabel,Despensa,2890.0,3695.8256532066507,-21.8,0
Salsa de Soya Gourmet 165 cc,Gourmet,Santa Isabel,Despensa,2380.0,3695.8256532066507,-35.6,0
Mango en Trocitos Watt 500 g,Wasil,Santa Isabel,Despensa,2690.0,3695.8256532066507,-27.22,0
Aceite de Pepita de Uva Olitalia 500 ml,Olitalia,Santa Isabel,Despensa,4690.0,3695.8256532066507,26.9,2
Tallarín Cuisine & Co Vitaminizado 400 g,Cuisine & Co,Santa Isabel,Despensa,790.0,3695.8256532066507,-78.62,0
Aceite Freidora Spray La Española 200 ml,La Española,Santa Isabel,Despensa,3990.0,3695.8256532066507,7.96,2
Mermelada Cuisine & Co Durazno 250 g,Cuisine & Co,Santa Isabel,Despensa,1080.0,3695.8256532066507,-70.78,0
Salsa Alfredo Gourmet Sobre 41 G,Gourmet,Santa Isabel,Despensa,840.0,3695.8256532066507,-77.27,0
Sal Rosada Los Boldos Fina Doypack 1 kg,Los Boldos,Santa Isabel,Despensa,3800.0,3695.8256532066507,2.82,2
Mayonesa NotMayo Doypack 200 g,NotCo,Santa Isabel,Despensa,1990.0,3695.8256532066507,-46.16,0
Cereal Mini Pillows 350 g,Pillows,Santa Isabel,Despensa,2890.0,3695.8256532066507,-21.8,2
Champiñónes Enteros 230 g drenado,Cuisine & Co,Santa Isabel,Despensa,1490.0,3695.8256532066507,-59.68,0
Stevia Cuisine & Co 100% Líquida 180 ml,Cuisine & Co,Santa Isabel,Despensa,3490.0,3695.8256532066507,-5.57,0
Endulzante Líquido Daily Stevia 270 ml,Daily,Santa Isabel,Despensa,3840.0,3695.8256532066507,3.9,0
Cous Cous de Sémola La Molisana 500 g,La Molisana,Santa Isabel,Despensa,1684.0,3695.8256532066507,-54.44,2
Sopa Pollo Fideos 70 g,Cuisine & Co,Santa Isabel,Despensa,540.0,3695.8256532066507,-85.39,0
Base para Preparar Gourmet Pollo Crispy 80 g,Gourmet,Santa Isabel,Despensa,860.0,3695.8256532066507,-76.73,0
Aceite de Oliva Olitalia Extra Virgen 500 ml,Olitalia,Santa Isabel,Despensa,7990.0,3695.8256532066507,116.19,2
Mermelada Tía Lía Frutilla 250 g,Tía Lía,Santa Isabel,Despensa,830.0,3695.8256532066507,-77.54,2
"Mermelada Light Tía Lía Sabor Frutilla, 250 g",Tía Lía,Santa Isabel,Despensa,950.0,3695.8256532066507,-74.3,2
Sal Parrillera Cuisine & Co 750 g,Cuisine & Co,Santa Isabel,Despensa,1460.0,3695.8256532066507,-60.5,0
Endulzante Daily Stevia Ingredientes Orgánicos 180 ml,Daily Sweet,Santa Isabel,Despensa,3072.0,3695.8256532066507,-16.88,2
Salsa para Carne Gourmet Sobre 30 g,Gourmet,Santa Isabel,Despensa,840.0,3695.8256532066507,-77.27,0
Gelatina Vivo Sin Azúcar Durazno 22 g,Vivo,Santa Isabel,Despensa,870.0,3695.8256532066507,-76.46,0
"Duraznos Mitades Wasil 220 g drenado, 500 g neto",Wasil,Santa Isabel,Despensa,1820.0,3695.8256532066507,-50.76,0
Sal Lobos Fina de Mesa Pote 850 g,Lobos,Santa Isabel,Despensa,1720.0,3695.8256532066507,-53.46,0
Café Liofilizado Cuisine & Co 100 g,Cuisine & Co,Santa Isabel,Despensa,7850.0,3695.8256532066507,112.4,0
Pasta Granizo N°73 Carozzi 250 g,Carozzi,Santa Isabel,Despensa,690.0,3695.8256532066507,-81.33,0
Crema Espárragos 68 g,Cuisine & Co,Santa Isabel,Despensa,540.0,3695.8256532066507,-85.39,0
Proteína de Soya XL Gourmet 180 g,Gourmet,Santa Isabel,Despensa,2690.0,3695.8256532066507,-27.22,0
Crema de Zapallo Gourmet Receta Premium Sobre 53 g,Gourmet,Santa Isabel,Despensa,750.0,3695.8256532066507,-79.71,0
Muesli Viola Clásico Bolsa 1 kg,Viola,Santa Isabel,Despensa,5290.0,3695.8256532066507,43.13,2
Té Club Ceylán Premium 50 un.,Club,Santa Isabel,Despensa,2350.0,3695.8256532066507,-36.41,2
Sésamo Tostado Mi Tierra 100 g,Mi Tierra,Santa Isabel,Despensa,1570.0,3695.8256532066507,-57.52,2
Crema Maggi de La Huerta Champiñones 42 g 2 Porciones,Maggi,Santa Isabel,Despensa,970.0,3695.8256532066507,-73.75,0
Salsa de Tomate Basilico Barilla con Albahaca 400 g,Barilla,Santa Isabel,Despensa,4670.0,3695.8256532066507,26.36,2
Té Supremo Luxury 80 un.,Supremo,Santa Isabel,Despensa,5710.0,3695.8256532066507,54.5,0
Puré de Papas Maggi 751 G,Maggi,Santa Isabel,Despensa,5690.0,3695.8256532066507,53.96,0
"Cerezas con Carozo Wasil 250 g drenado, 500 g neto",Wasil,Santa Isabel,Despensa,1990.0,3695.8256532066507,-46.16,0
Mostaza Kraft Clásica Regular Doypack 220 g,Kraft,Santa Isabel,Despensa,1000.0,3695.8256532066507,-72.94,0
Café Juan Valdez Liofilizado Instantáneo 95 g,Juan Valdez,Santa Isabel,Despensa,20270.0,3695.8256532066507,448.46,1
Endulzante Stevia Daily 300 Comprimidos,Daily,Santa Isabel,Despensa,2232.0,3695.8256532066507,-39.61,0
Sal de Mar Lobos Extra Gruesa 800 g,Lobos,Santa Isabel,Despensa,2280.0,3695.8256532066507,-38.31,0
Mayonesa Regular 760 g,Cuisine & Co,Santa Isabel,Despensa,2590.0,3695.8256532066507,-29.92,0
"Champiñones Enteros Esmeralda 230 g drenado, 400 g neto",Esmeralda,Santa Isabel,Despensa,2190.0,3695.8256532066507,-40.74,0
Leche Condensada Soprole Tarro 396 g,Soprole,Santa Isabel,Despensa,1860.0,3695.8256532066507,-49.67,0
Lentejón 7 mm Martini Laird Grado 1 - 500 g,Martini,Santa Isabel,Despensa,1860.0,3695.8256532066507,-49.67,0
Mayonesa Hellmann's Ajo Squeeze 335 g,Hellmann's,Santa Isabel,Despensa,3490.0,3695.8256532066507,-5.57,0
Crema Ácida Refrigerada Loncoleche 140 g,Loncoleche,Santa Isabel,Despensa,2000.0,3695.8256532066507,-45.88,0
