nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
Pechuga de Pavo Cocida 125 g Sopraval,SOPRAVAL,ACUENTA,Aves,2150.0,4135.6375,-48.01,2
Pizza Pollo Champiñon 1 Un Acuenta,ACUENTA,ACUENTA,Aves,2800.0,4135.6375,-32.3,0
"Pollo Entero 2,2 kg Seara",GENÉRICA,ACUENTA,Aves,8590.0,4135.6375,107.71,0
Pollo Trutro Entero Congelado 2 kg Super Pollo...,SUPER POLLO,ACUENTA,Aves,6690.0,4135.6375,61.76,0
Pollo Trutro Entero Deshuesado Congelado 800 g ...,GENÉRICA,ACUENTA,Aves,3590.0,4135.6375,-13.19,0
Pollo Trutro Corto Congelado 800 g Seara,GENÉRICA,ACUENTA,Aves,2990.0,4135.6375,-27.7,0
"Pollo Entero Supremo congelado 4,2 kg Sadia...",SADIA,ACUENTA,Aves,17178.0,4135.6375,315.37,2
Pollo Pechuga Deshuesada Congelada 800 g Seara...,GENÉRICA,ACUENTA,Aves,6390.0,4135.6375,54.51,0
Trutro Entero Congelado 350 g Seara,GENÉRICA,ACUENTA,Aves,1050.0,4135.6375,-74.61,0
Pana De Pollo Congelada 600 g Ariztia,GENÉRICA,ACUENTA,Aves,1890.0,4135.6375,-54.3,0
Corazón de Pollo 500 g Ariztia,GENÉRICA,ACUENTA,Aves,2190.0,4135.6375,-47.05,0
Pollo Alitas Congeladas 1 kg El Buen Corte...,GENÉRICA,ACUENTA,Aves,3890.0,4135.6375,-5.94,0
Pollo En Tiritas de Pechuga Congelado 700 g Sup...,GENÉRICA,ACUENTA,Aves,7190.0,4135.6375,73.85,0
Pollo Cubitos de Pechuga Congelados 500 g Super...,GENÉRICA,ACUENTA,Aves,4990.0,4135.6375,20.66,0
Pollo Pechuga Entera Envasada 900 g Ariztia...,GENÉRICA,ACUENTA,Aves,5211.0,4135.6375,26.0,0
Pollo Trutro Entero Envasado 900 g Ariztia...,GENÉRICA,ACUENTA,Aves,3321.0,4135.6375,-19.7,0
Pollo Filete Congelado 1 kg Sadia,SADIA,ACUENTA,Aves,6290.0,4135.6375,52.09,2
Pollo Trutro Corto Envasado 1 kg Ariztia,GENÉRICA,ACUENTA,Aves,3590.0,4135.6375,-13.19,0
Pollo Trutro Largo Congelado 800 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,3290.0,4135.6375,-20.45,0
Pollo Trutro Corto Congelado 800 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,3290.0,4135.6375,-20.45,0
Pollo Pechuga Con Hueso y Piel Congelada 800 g ...,GENÉRICA,ACUENTA,Aves,3490.0,4135.6375,-15.61,0
Pollo Alitas Congeladas 800 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,3550.0,4135.6375,-14.16,0
Pollo Pechuga Deshuesada Envasada 500 g Ariztia...,GENÉRICA,ACUENTA,Aves,3690.0,4135.6375,-10.78,0
Pollo Pechuga Congelada 1 kg Sadia,SADIA,ACUENTA,Aves,5990.0,4135.6375,44.84,2
Pollo Pechuga Deshuesada Envasada 850 g Super P...,GENÉRICA,ACUENTA,Aves,5090.0,4135.6375,23.08,0
Pollo Trutro Largo Envasado 700 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,2653.0,4135.6375,-35.85,0
Pollo entero con Menudencia 1900 Kg Super pollo...,SUPER POLLO,ACUENTA,Aves,6631.0,4135.6375,60.34,0
Pollo Filetitos De Pechuga Congelada 800 g Sear...,GENÉRICA,ACUENTA,Aves,6390.0,4135.6375,54.51,0
Pollo Pechuga Entera Envasada 1 kg Super Pollo...,SUPER POLLO,ACUENTA,Aves,4550.0,4135.6375,10.02,0
Pollo Trutro Corto Envasado 900 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,3321.0,4135.6375,-19.7,0
Pollo Filetitos Congelados 700 g Super Pollo...,SUPER POLLO,ACUENTA,Aves,4590.0,4135.6375,10.99,0
Pollo Pechuga Deshuesada Congelada 750 g Super ...,GENÉRICA,ACUENTA,Aves,4690.0,4135.6375,13.4,0
Pollo Trutro Entero Envasado 2 Un 830 g Super P...,GENÉRICA,ACUENTA,Aves,2980.0,4135.6375,-27.94,0
Pollo Filetitos Congelados 1 kg El Buen Corte...,GENÉRICA,ACUENTA,Aves,4790.0,4135.6375,15.82,0
Pollo Trutro Largo Congelado 800 g Seara,GENÉRICA,ACUENTA,Aves,2790.0,4135.6375,-32.54,0
Pollo Pechuga Deshuesada Congelada 1 kg El Buen...,GENÉRICA,ACUENTA,Aves,4790.0,4135.6375,15.82,0
"Quinoa Vivo Tricolor 100% Natural, 250g",NATURA,Cugat,"Arroz, Legumbres y Semillas",3190.0,2736.6666666666665,16.57,0
"Arroz Tucapel Gran Selección G2, 1Kg.",TUCAPEL,Cugat,"Arroz, Legumbres y Semillas",1590.0,2736.6666666666665,-41.9,0
"Arroz Tucapel Gran Selección G1 Lam, 1kg",TUCAPEL,Cugat,"Arroz, Legumbres y Semillas",1990.0,2736.6666666666665,-27.28,0
"Arroz Tucapel Gran Selección G2 Lam, 1Kg",TUCAPEL,Cugat,"Arroz, Legumbres y Semillas",1790.0,2736.6666666666665,-34.59,0
"Arroz Miraflores Pregraneado G1, 1kg",MIRAFLORES,Cugat,"Arroz, Legumbres y Semillas",2490.0,2736.6666666666665,-9.01,0
"Arroz Tucapel Pregraneado G1 Grano Largo, 1kg",TUCAPEL,Cugat,"Arroz, Legumbres y Semillas",1790.0,2736.6666666666665,-34.59,0
